,Security Description,Issuer,Type,Security No.
178,STANDARD BANK GROUP LTD COMMON STOCK ZAR 10,STANDARD BANK GROUP LTD ,COMMON STOCK ZAR 10,B030GJ7
179,STS HOLDING SA COMMON STOCK PLN,STS HOLDING SA ,COMMON STOCK PLN,BMFCKF9
180,TATNEFT PJSC COMMON STOCK RUB,TATNEFT PJSC ,COMMON STOCK RUB,0H5822S
181,TATNEFT PJSC COMMON STOCK RUB,TATNEFT PJSC ,COMMON STOCK RUB,X84C973
182,TATNEFT PJSC PREFERENCE RUB 1,TATNEFT PJSC PREFERENCE RUB 1,,0H5816S
183,TATNEFT PJSC PREFERENCE RUB 1,TATNEFT PJSC PREFERENCE RUB 1,,X8C6150
184,TBC BANK GROUP PLC COMMON STOCK ,TBC BANK GROUP PLC ,COMMON STOCK ,BYT1830
185,TCS GROUP HOLDING PLC GDR,TCS GROUP HOLDING PLC GDR,,0H6380S
186,TCS GROUP HOLDING PLC GDR,TCS GROUP HOLDING PLC GDR,,X8C4FD3
187,TECOM GROUP PJSC COMMON STOCK AED 0.1,TECOM GROUP PJSC ,COMMON STOCK AED 0.1,BLDC8Q1
188,TEN SQUARE GAMES SA COMMON STOCK PLN 0.1,TEN SQUARE GAMES SA ,COMMON STOCK PLN 0.1,BFZCQ74
189,THE SAUDI NATIONAL BANK,THE SAUDI NATIONAL BANK,,BSHYYN1
190,TIGER BRANDS LTD COMMON STOCK ZAR 10,TIGER BRANDS LTD ,COMMON STOCK ZAR 10,B0J4PP2
191,TITAN CEMENT INTERNATIONAL SA COMMON STOCK EUR,TITAN CEMENT INTERNATIONAL SA ,COMMON STOCK EUR,BJ8PD99
192,TRUWORTHS INTERNATIONAL LTD COMMON STOCK ZAR 0.015,TRUWORTHS INTERNATIONAL LTD ,COMMON STOCK ZAR 0.015,6113485
193,TUPRAS-TURKIYE PETROL RAFINE,TUPRAS-TURKIYE PETROL RAFINE,,B03MYT9
194,TURK HAVA YOLLARI AO COMMON STOCK TRY 1,TURK HAVA YOLLARI AO ,COMMON STOCK TRY 1,B03MYK0
195,TURKCELL ILETISIM HIZMET AS,TURKCELL ILETISIM HIZMET AS,,B03MYN3
196,TURKIYE GARANTI BANKASI AS COMMON STOCK TRY 1,TURKIYE GARANTI BANKASI AS ,COMMON STOCK TRY 1,B03MYP5
197,TURKIYE SIGORTA AS COMMON STOCK TRY 1,TURKIYE SIGORTA AS ,COMMON STOCK TRY 1,B03MTD8
198,UNITED ELECTRONICS CO COMMON STOCK SAR,UNITED ELECTRONICS CO ,COMMON STOCK SAR,B4P2SD7
199,UNITED INTERNATIONAL TRANSPORTATION CO COMMON STOCK SAR 10,UNITED INTERNATIONAL TRANSPORTATION CO ,COMMON STOCK SAR 10,B2493D0
200,VALTERRA PLATINUM LTD COMMON STOCK ZAR 10,VALTERRA PLATINUM LTD ,COMMON STOCK ZAR 10,6761000
201,VODACOM GROUP LTD COMMON STOCK ZAR,VODACOM GROUP LTD ,COMMON STOCK ZAR,B65B4D0
202,VTB BANK PJSC COMMON STOCK RUB 0.01,VTB BANK PJSC ,COMMON STOCK RUB 0.01,0H5837S
203,VTB BANK PJSC COMMON STOCK RUB 0.01,VTB BANK PJSC ,COMMON STOCK RUB 0.01,X8C6392
204,WE BUY CARS HOLDINGS LTD COMMON STOCK ZAR,WE BUY CARS HOLDINGS LTD ,COMMON STOCK ZAR,BSB8C80
205,WOOLWORTHS HOLDINGS LTD/SOUTH AFRICA COMMON STOCK ZAR 0,WOOLWORTHS HOLDINGS LTD/SOUTH AFRICA ,COMMON STOCK ZAR 0,B06KZ97
206,X 5 RETAIL GROUP NV-REGS GDR,X 5 RETAIL GROUP NV-REGS GDR,,X8C4FD9
207,X 5 RETAIL GROUP NV-REGS GDR,X 5 RETAIL GROUP NV-REGS GDR,,0H6365S
208,YANDEX NV COMMON STOCK USD 0.01,YANDEX NV ,COMMON STOCK USD 0.01,0H6379S
209,YAPI VE KREDI BANKASI AS COMMON STOCK TRY 1,YAPI VE KREDI BANKASI AS ,COMMON STOCK TRY 1,B03MZJ6
