,Security Description,Security No.,Symbol,Exchange,Currency,Conv Rate,September 2024,August 2024,July 2024,June 2024,May 2024,April 2024,March 2024,February 2024,January 2024,December 2023,November 2023,October 2023,September 2023,August 2023,July 2023,June 2023,May 2023,April 2023,March 2023,February 2023,January 2023,December 2022,November 2022,October 2022,September 2022,August 2022,July 2022,June 2022,May 2022,April 2022,March 2022
53,TUPRAS-TURKIYE PETROL RAFINE,B03MYT9,TUPRS,BIST,TRY,1.0,50663,70158,70158,70158,92792,92792,92792,92792,92792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,UNITED INTERNATIONAL TRANSPORTATION CO COMMON STOCK SAR 10,B2493D0,4260,TADAWUL,SAR,1.0,9725,9725,9725,9725,9725,9725,9725,9725,9725,9725,9725,9725,9725,13199,13199,13199,13199,13199,13199,13199,0,0,0,0,0,0,0,0,0,0,0
55,METLEN ENERGY & METALS SA COMMON STOCK EUR 0.97,5898664,0KAZ,LSIN,EUR,1.0,5598,5598,5598,5598,5598,5598,5598,5598,5598,5598,5598,5598,5598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,BIM BIRLESIK MAGAZALAR AS COMMON STOCK TRY 1,B0D0006,BMSTL,BIST,TRY,1.0,15181,15181,15181,15181,15181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,MAGYAR TELEKOM TELECOMMUNICATIONS PLC COMMON STOCK HUF 100,4577469,0NUG,LSE,HUF,1.0,74864,74864,74864,74864,74864,74864,74864,74864,74864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,KRUK SA COMMON STOCK PLN 1,B4PTLY0,0Q3Y,LSIN,PLN,1.0,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892,2526,2526,2526,2526,2526,2526,2526,0,0,0,0,0,0,0,0,0,0,0
59,MOTOR OIL HELLAS CORINTH REFINERIES SA COMMON STOCK EUR 0.75,5996234,0MQT,LSIN,EUR,1.0,9203,9203,9203,9203,9203,9203,9203,9203,9203,9203,11566,11566,11566,14056,14056,14056,14056,14056,14056,14056,0,0,0,0,0,0,0,0,0,0,0
60,HELLENIC TELECOMMUNICATIONS ORGANIZATION SA COMMON STOCK EUR 2.83,5051605,0FIZ,LSIN,EUR,1.0,12548,12548,12548,12548,12548,12548,12548,12548,12548,12548,12548,12548,12548,12548,12017,0,0,0,7713,11659,0,0,0,0,0,0,0,0,0,0,0
61,RIYADH CABLES GROUP CO COMMON STOCK SAR 10,BNBPXW7,4142,TADAWUL,SAR,1.0,8057,8057,8057,8057,8057,8057,8057,8057,8057,8057,11272,11272,20915,24353,24353,14849,14849,14849,14849,14849,0,0,0,0,0,0,0,0,0,0,0
62,POWSZECHNY ZAKLAD UBEZPIECZEN SA COMMON STOCK PLN 0.1,B63DG21,,,,1.0,19378,19378,0,0,0,28551,24876,24876,24876,19935,19935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,MOTUS HOLDINGS LTD COMMON STOCK ZAR,BDRN3H0,MTH,JSE,ZAC,1.0,30065,30065,30065,30065,30065,20379,20379,20379,20379,20379,20379,20379,20379,20379,20379,20379,20379,20379,20379,20379,0,0,0,0,0,0,0,0,0,0,0
64,ADES HOLDING CO COMMON STOCK SAR 1,BR56KM3,2382,TADAWUL,SAR,1.0,39150,39150,39150,39150,39150,39150,39150,39150,39150,39150,39150,39150,100456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,SALIK CO PJSC COMMON STOCK AED 0.01,BJN5952,SALIK,DFM,AED,1.0,187852,187852,187852,187852,187852,187852,187852,187852,187852,187852,187852,187852,187852,256601,256601,256601,256601,256601,256601,256601,0,0,0,0,0,0,0,0,0,0,0
66,PIRAEUS FINANCIAL HOLDINGS SA COMMON STOCK EUR 0.93,BNC0DB0,0RTY,LSIN,EUR,1.0,48227,48227,48227,48227,48227,48227,48227,61281,61281,61281,61281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,TECOM GROUP PJSC COMMON STOCK AED,BLDC8Q1,TECOM,DFM,AED,1.0,234111,234111,234111,234111,234111,234111,234111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,OPAP SA COMMON STOCK EUR 0.3,7107250,0FI1,LSIN,EUR,1.0,11282,11282,11282,11282,11282,11282,11282,11282,11282,11282,11282,11282,11282,22069,22069,22069,22069,22069,22069,17710,0,0,0,0,0,0,0,0,0,0,0
69,AKBANK TAS COMMON STOCK TRY 1,B03MN70,AKBNK,BIST,TRY,1.0,111134,111134,111134,111134,111134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,KOMERCNI BANKA AS COMMON STOCK CZK 100,4519449,0IKH,LSIN,CZK,1.0,5652,5652,5652,5652,5652,5652,5652,5652,5652,5652,5652,5652,5652,5652,5652,5652,5652,5652,5652,5652,0,0,0,0,0,0,0,0,0,0,0
71,FOSCHINI GROUP LTD/THE COMMON STOCK ZAR 1.25,6349688,,,,1.0,22044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23970,23970,23970,23970,0,0,0,0,0,0,0,0,0,0,0
72,ALKHORAYEF WATER & POWER TECHNOLOGIES CO COMMON STOCK SAR 10,BN33QN1,2081,TADAWUL,SAR,1.0,4593,4593,4593,4593,4593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,OOREDOO QPSC COMMON STOCK QAR 1,6158174,OOREDOO,KSE,KWF,1.0,60427,60427,60427,60427,60427,60427,60427,60427,60427,60427,60427,60427,60427,60427,60427,60427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,ADNOC LOGISTICS & SERVICES COMMON STOCK AED,BRBN103,ADNOCLS,ADX,AED,1.0,133931,133931,133931,133931,133931,133931,133931,133931,133931,133931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,SAUDIA DAIRY & FOODSTUFF CO COMMON STOCK SAR 10,B133P41,,,,1.0,1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,AVI LTD COMMON STOCK ZAR 5,6040958,AVI,JSE,ZAC,1.0,30154,30154,30154,30154,30154,30154,30154,37161,37161,33462,33462,33462,55575,55575,55575,55575,55575,55575,55575,55575,0,0,0,0,0,0,0,0,0,0,0
77,TURKIYE GARANTI BANKASI AS COMMON STOCK TRY 1,B03MYP5,,,,1.0,53407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,NOVATEK PJSC COMMON STOCK RUB 0.1,2H6464S,,,,1.0,1268490,1268490,1268490,1268490,1268490,1268490,1268490,1268490,1268490,1268490,1268490,1268490,1268490,1268490,1268490,1268490,1268490,1268490,1268490,1268490,1268490,1268490,1268490,1268490,1268490,1268490,0,0,0,0,0
79,NOVATEK PJSC COMMON STOCK RUB 0.1,0H5828S,,,,1.0,103572,103572,103572,103572,103572,103572,103572,103572,103572,103572,103572,103572,103572,103572,103572,103572,103572,103572,103572,103572,103572,103572,103572,103572,103572,103572,103572,103572,103572,103572,103572
80,SAUDI AWWAL BANK COMMON STOCK SAR 10,B12LSY7,1060,TADAWUL,SAR,1.0,20423,20423,20423,20423,20423,20423,20423,20423,20423,20423,20423,20423,20423,20423,20423,20423,20423,20423,20423,20423,0,0,0,0,0,0,0,0,0,0,0
81,ARABIAN CENTRES CO COMMON STOCK SAR 10,BKBF694,4321,TADAWUL,SAR,1.0,31957,31957,31957,31957,31957,24782,24782,24782,24782,24782,24782,24782,24782,24782,24782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,ALPHA SERVICES AND HOLDINGS SA COMMON STOCK EUR 0.29,BZ1MXR7,0RCS,LSIN,EUR,1.0,105464,105464,105464,105464,105464,105464,105464,105464,105464,105464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,MOL HUNGARIAN OIL & GAS PLC COMMON STOCK HUF 125,BD5ZXH8,0RUK,LSIN,HUF,1.0,23384,23384,30929,30929,30929,30929,30929,30929,30929,30929,30929,30929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,CO FOR COOPERATIVE INSURANCE/THE COMMON STOCK SAR 10,B128FN6,,,,1.0,4403,4403,4403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,MMC NORILSK NICKEL PJSC COMMON STOCK RUB 1,0H5804S,GMKN,ALOR,RUB,1.0,7119200,7119200,7119200,7119200,7119200,7119200,71192,71192,71192,71192,71192,71192,71192,71192,71192,71192,71192,71192,71192,71192,71192,71192,71192,71192,71192,71192,71192,71192,71192,71192,71192
86,BANCA TRANSILVANIA SA COMMON STOCK RON 1,5393307,0DP9,LSIN,RON,1.0,27608,42467,42467,36992,36992,36992,36992,36992,36992,36992,36992,36992,36992,49478,49478,43841,43841,43841,43841,43841,0,0,0,0,0,0,0,0,0,0,0
87,TURKCELL ILETISIM HIZMET AS,B03MYN3,TCELL,BIST,TRY,1.0,61090,61090,61090,61090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,TURKIYE SIGORTA AS COMMON STOCK TRY 1,B03MTD8,RAYSG,BIST,TRY,1.0,453680,453680,105392,105392,105392,105392,85179,85179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,ALDREES PETROLEUM AND TRANSPORT SERVICES CO COMMON STOCK SAR 10,B128FF8,4200,TADAWUL,SAR,1.0,4570,4570,4570,4570,4570,3428,3428,3428,3428,3428,3428,3428,3428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,YAPI VE KREDI BANKASI AS COMMON STOCK TRY 1,B03MZJ6,YKBNK,BIST,TRY,1.0,165133,165133,165133,165133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,ERSTE GROUP BANK AG COMMON STOCK EUR 0,5289837,0MJK,LSIN,EUR,1.0,2657,2657,2657,2657,2657,2657,2657,2657,2657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,BUPA ARABIA FOR COOPERATIVE INSURANCE CO COMMON STOCK SAR 10,B2RLCR0,8210,TADAWUL,SAR,1.0,2526,2526,2526,2526,2526,2526,2526,2526,2526,2526,2526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,ROSNEFT OIL CO PJSC COMMON STOCK RUB 0.01,0H5827S,,,,1.0,2041744,2041744,2041744,2041744,2041744,2041744,2041744,2041744,2041744,2041744,2041744,2041744,2041744,2041744,2041744,2041744,2041744,2041744,2041744,2041744,2041744,2041744,2041744,2041744,2041744,2041744,2041744,2041744,2041744,2041744,2041744
94,ROSNEFT OIL CO PJSC COMMON STOCK RUB,2H7674S,,,,1.0,1677948,1677948,1677948,1677948,1677948,1677948,1677948,1677948,1677948,1677948,1677948,1677948,1677948,1677948,1677948,1677948,1677948,1677948,1677948,1677948,1677948,1677948,1677948,1677948,1677948,1677948,1677948,1677948,1677948,1677948,1677948
95,SARANTIS SA EUR1.53,7124958,,,,1.0,10086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,RAIFFEISEN BANK INTERNATIONAL AG COMMON STOCK EUR 0,B0704T9,0NXR,LSIN,EUR,1.0,5361,5361,5361,5361,5361,5361,5361,5361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,ARABIAN DRILLING CO COMMON STOCK SAR 10,BPNZYP9,2381,TADAWUL,SAR,1.0,3385,3385,3385,3385,3385,3385,3385,3385,3385,4813,4813,4813,4813,5994,5994,5994,5994,5994,5994,0,0,0,0,0,0,0,0,0,0,0,0
