Security Description,Issuer,Security No.,Symbol,Exchange,Currency,Conv Rate
OLD MUTUAL LTD COMMON STOCK ZAR,OLD MUTUAL LTD,BDVPYN5,OMU,JSE,ZAC,1
OOREDOO QPSC COMMON STOCK QAR 1,OOREDOO QPSC,6158174,OOREDOO,KSE,KWF,1
OPAP SA COMMON STOCK EUR 0.3,OPAP SA,7107250,0FI1,LSIN,EUR,1
OPTIMA BANK SA COMMON STOCK EUR 3.45,OPTIMA BANK SA,BL571C1,OPTIMA,ATHEX,EUR,1
OTP BANK NYRT COMMON STOCK HUF 100,OTP BANK NYRT,7320154,OTP,BET,HUF,1
OUTSURANCE GROUP LTD COMMON STOCK ZAR 0.0001,OUTSURANCE GROUP LTD,BN6QSM0,OUT,JSE,ZAC,1
PARKIN CO PJSC COMMON STOCK AED 0.02,PARKIN CO PJSC,BRRGQF6,PARKIN,DFM,AED,1
PARKIN CO PJSC COMMON STOCK AED 0.02,PARKIN CO PJSC,WB1B623,PARKIN,DFM,AED,1
PIRAEUS BANK SA COMMON STOCK EUR 0.93,PIRAEUS BANK SA,BVLKBV3,TPEIR,ATHEX,EUR,1
PIRAEUS FINANCIAL HOLDINGS SA COMMON STOCK EUR 0.93,PIRAEUS FINANCIAL HOLDINGS SA,BNC0DB0,0RTY,LSIN,EUR,1
POLYUS PJSC COMMON STOCK RUB,POLYUS PJSC,2H7182S,PLZL,RUS,RUB,1
POLYUS PJSC COMMON STOCK RUB,POLYUS PJSC,X84D1F8,PLZL,RUS,RUB,1
POWSZECHNA KASA OSZCZEDNOSCI BANK POLSKI SA COMMON STOCK PLN 1,POWSZECHNA KASA OSZCZEDNOSCI BANK POLSKI SA,B03NGS5,PZU,GPW,PLN,1
POWSZECHNY ZAKLAD UBEZPIECZEN SA COMMON STOCK PLN 0.1,POWSZECHNY ZAKLAD UBEZPIECZEN SA,B63DG21,PZU,GPW,PLN,1
QATAR GAS TRANSPORT CO LTD COMMON STOCK QAR 1,QATAR GAS TRANSPORT CO LTD,B0MLBC9,QGTS,QSE,QAR,1
QATAR NATIONAL BANK QPSC COMMON STOCK QAR 1,QATAR NATIONAL BANK QPSC,6148197,QNBK,QSE,QAR,1
RAIFFEISEN BANK INTERNATIONAL AG COMMON STOCK EUR 0,RAIFFEISEN BANK INTERNATIONAL AG,B0704T9,0NXR,LSIN,EUR,1
RICHTER GEDEON NYRT COMMON STOCK,RICHTER GEDEON NYRT,BC9ZH86,0QFP,LSE,HUF,1
RIYAD BANK COMMON STOCK SAR 10,RIYAD BANK,B12LZW4,1010,TADAWUL,SAR,1
RIYADH CABLES GROUP CO COMMON STOCK SAR 10,RIYADH CABLES GROUP CO,BNBPXW7,4142,TADAWUL,SAR,1
ROSNEFT OIL CO PJSC COMMON STOCK RUB,ROSNEFT OIL CO PJSC,2H7674S,ROSN,RUS,RUB,1
ROSNEFT OIL CO PJSC COMMON STOCK RUB,ROSNEFT OIL CO PJSC,X84D1F9,ROSN,RUS,RUB,1
ROSNEFT OIL CO PJSC COMMON STOCK RUB 0.01,ROSNEFT OIL CO PJSC,0H5827S,ROSN,RUS,RUB,1
ROSNEFT OIL CO PJSC COMMON STOCK RUB 0.01,ROSNEFT OIL CO PJSC,X84C971,ROSN,RUS,RUB,1
ROSTELECOM PJSC COMMON STOCK RUB,ROSTELECOM PJSC,X84C978,RTKM,RUS,RUB,1
ROSTELECOM PJSC COMMON STOCK RUB,ROSTELECOM PJSC,0H5802S,RTKM,RUS,RUB,1
SABIC AGRI-NUTRIENTS CO COMMON STOCK SAR 10,SABIC AGRI-NUTRIENTS CO,B1323K0,ERTH,CSE,CSD,1
SAHARA INTERNATIONAL PETROCHEMICAL CO COMMON STOCK SAR 10,SAHARA INTERNATIONAL PETROCHEMICAL CO,B1C1NH5,2310,TADAWUL,SAR,1
SALIK CO PJSC COMMON STOCK AED 0.01,SALIK CO PJSC,BJN5952,SALIK,DFM,AED,1
SANLAM LTD COMMON STOCK ZAR 1,SANLAM LTD,B0L6750,SLM,JSE,ZAC,1
SARANTIS SA EUR1.53,SARANTIS SA EUR1.53,7124958,SAR,ATHEX,EUR,1
SASOL LTD COMMON STOCK ZAR 0,SASOL LTD,6777450,SOL,JSE,ZAC,1
SAUDI ARABIAN OIL CO COMMON STOCK SAR,SAUDI ARABIAN OIL CO,BJTM270,2222,TADAWUL,SAR,1
SAUDI ARAMCO BASE OIL CO COMMON STOCK,SAUDI ARAMCO BASE OIL CO,BMDKMB5,2223,TADAWUL,SAR,1
